name,city_ascii,lat,lon,country,iso2,iso3,admin_name,capital,population,id
North Port,North Port,27.0577,-82.1976,United States,US,USA,Florida,,195992,1840015120
Huntington,Huntington,38.4109,-82.4344,United States,US,USA,West Virginia,,194155,1840006211
Deltona,Deltona,28.905,-81.2136,United States,US,USA,Florida,,194061,1840015072
Grand Prairie,Grand Prairie,32.6869,-97.0209,United States,US,USA,Texas,,193837,1840020709
Salinas,Salinas,36.6881,-121.6316,United States,US,USA,California,,193590,1840021632
Ciudad Madero,Ciudad Madero,22.3189,-97.8361,Mexico,MX,MEX,Tamaulipas,minor,192736,1484185237
Bayamo,Bayamo,20.3795,-76.6433,Cuba,CU,CUB,Granma,admin,192632,1192297857
Waterbury,Waterbury,41.5583,-73.0361,United States,US,USA,Connecticut,,191484,1840004851
Overland Park,Overland Park,38.887,-94.687,United States,US,USA,Kansas,,191278,1840003834
La Paz,La Paz,24.14,-110.32,Mexico,MX,MEX,Baja California Sur,admin,189767,1484005187
Waco,Waco,31.5597,-97.1883,United States,US,USA,Texas,,188448,1840022140
Erie,Erie,42.1168,-80.0733,United States,US,USA,Pennsylvania,,188079,1840000478
Puerto Vallarta,Puerto Vallarta,20.6771,-105.245,Mexico,MX,MEX,Jalisco,minor,187134,1484408906
Pinar del Rio,Pinar del Rio,22.4175,-83.6981,Cuba,CU,CUB,Pinar del Río,admin,186990,1192216820
Cienfuegos,Cienfuegos,22.1444,-80.4403,Cuba,CU,CUB,Cienfuegos,admin,186644,1192020054
Cedar Rapids,Cedar Rapids,41.9667,-91.6782,United States,US,USA,Iowa,,186160,1840000471
Hagerstown,Hagerstown,39.6401,-77.7217,United States,US,USA,Maryland,,185704,1840005613
Tempe,Tempe,33.3881,-111.9318,United States,US,USA,Arizona,,185038,1840021942
Spartanburg,Spartanburg,34.9437,-81.9257,United States,US,USA,South Carolina,,183184,1840015482
Clarksville,Clarksville,36.5696,-87.3428,United States,US,USA,Tennessee,,182849,1840014421
Barrie,Barrie,44.3838,-79.7,Canada,CA,CAN,Ontario,,182041,1124340223
Gastonia,Gastonia,35.2494,-81.1855,United States,US,USA,North Carolina,,180974,1840013468
Lorain,Lorain,41.4409,-82.184,United States,US,USA,Ohio,,180239,1840000644
Sioux Falls,Sioux Falls,43.5397,-96.7322,United States,US,USA,South Dakota,,180204,1840002648
Fort Lauderdale,Fort Lauderdale,26.1412,-80.1464,United States,US,USA,Florida,,180072,1840014236
Newport News,Newport News,37.1051,-76.5185,United States,US,USA,Virginia,,179388,1840003862
Nogales,Nogales,31.305,-110.945,Mexico,MX,MEX,Sonora,minor,178097,1484364591
High Point,High Point,35.9902,-79.9938,United States,US,USA,North Carolina,,177874,1840014479
Santa Cruz,Santa Cruz,36.9788,-122.0346,United States,US,USA,California,,177556,1840021579
Rancho Cucamonga,Rancho Cucamonga,34.1247,-117.5664,United States,US,USA,California,,177452,1840020411
Frisco,Frisco,33.1553,-96.8218,United States,US,USA,Texas,,177286,1840020654
Danbury,Danbury,41.4016,-73.471,United States,US,USA,Connecticut,,177177,1840004837
Hemet,Hemet,33.7341,-116.9969,United States,US,USA,California,,176892,1840020550
Oceanside,Oceanside,33.2247,-117.3083,United States,US,USA,California,,176193,1840020623
Regina,Regina,50.45,-104.617,Canada,CA,CAN,Saskatchewan,admin,176183,1124342541
Ontario,Ontario,34.0393,-117.6064,United States,US,USA,California,,175841,1840020410
Vancouver,Vancouver,45.6352,-122.597,United States,US,USA,Washington,,175673,1840021189
Garden Grove,Garden Grove,33.7787,-117.9601,United States,US,USA,California,,174226,1840020577
Nampa,Nampa,43.5843,-116.5626,United States,US,USA,Idaho,,173863,1840020041
Vallejo,Vallejo,38.1133,-122.2359,United States,US,USA,California,,173844,1840021499
Elk Grove,Elk Grove,38.416,-121.384,United States,US,USA,California,,171844,1840020245
Pembroke Pines,Pembroke Pines,26.0128,-80.3387,United States,US,USA,Florida,,170712,1840015141
Medford,Medford,42.3372,-122.8537,United States,US,USA,Oregon,,168219,1840020076
Peoria,Peoria,33.7844,-112.2989,United States,US,USA,Arizona,,168181,1840020567
Corona,Corona,33.862,-117.5644,United States,US,USA,California,,167836,1840019305
Murfreesboro,Murfreesboro,35.8493,-86.4098,United States,US,USA,Tennessee,,167055,1840014495
Marysville,Marysville,48.0809,-122.1558,United States,US,USA,Washington,,166541,1840019789
Cary,Cary,35.7814,-78.8167,United States,US,USA,North Carolina,,165904,1840016196
Fredericksburg,Fredericksburg,38.2992,-77.4872,United States,US,USA,Virginia,,164976,1840003845
Ocala,Ocala,29.1803,-82.1495,United States,US,USA,Florida,,164712,1840015067
Manchester,Manchester,42.9848,-71.4447,United States,US,USA,New Hampshire,,160742,1840002983
Hayward,Hayward,37.6328,-122.0772,United States,US,USA,California,,160500,1840020293
Muskegon,Muskegon,43.2281,-86.2562,United States,US,USA,Michigan,,160142,1840002870
Alexandria,Alexandria,38.8185,-77.0861,United States,US,USA,Virginia,,160035,1840003837
Springfield,Springfield,39.7712,-89.6539,United States,US,USA,Illinois,admin,159394,1840009517
Lafayette,Lafayette,40.3991,-86.8594,United States,US,USA,Indiana,,159293,1840008354
Port Arthur,Port Arthur,29.8554,-93.9264,United States,US,USA,Texas,,157934,1840020919
Sudbury,Sudbury,46.5,-80.9666,Canada,CA,CAN,Ontario,,157857,1124539524
Palmdale,Palmdale,34.5944,-118.1057,United States,US,USA,California,,157519,1840020502
Champaign,Champaign,40.1144,-88.2735,United States,US,USA,Illinois,,156794,1840007239
Gainesville,Gainesville,34.2901,-83.8301,United States,US,USA,Georgia,,156248,1840013612
Frederick,Frederick,39.4335,-77.4157,United States,US,USA,Maryland,,154972,1840005710
Lakewood,Lakewood,39.6978,-105.1168,United States,US,USA,Colorado,,154958,1840020198
Tuscaloosa,Tuscaloosa,33.2349,-87.5267,United States,US,USA,Alabama,,154204,1840005563
Sunnyvale,Sunnyvale,37.3835,-122.0257,United States,US,USA,California,,153656,1840021573
Lake Charles,Lake Charles,30.203,-93.215,United States,US,USA,Louisiana,,153633,1840015039
Hollywood,Hollywood,26.0293,-80.1678,United States,US,USA,Florida,,153627,1840015144
Pasadena,Pasadena,29.6584,-95.1499,United States,US,USA,Texas,,153520,1840020930
Pomona,Pomona,34.0585,-117.7625,United States,US,USA,California,,152939,1840020507
Kansas City,Kansas City,39.1234,-94.7443,United States,US,USA,Kansas,,152938,1840001626
Escondido,Escondido,33.1347,-117.0722,United States,US,USA,California,,151969,1840020620
Abbotsford,Abbotsford,49.0504,-122.3,Canada,CA,CAN,British Columbia,,151683,1124808029
Binghamton,Binghamton,42.1014,-75.9093,United States,US,USA,New York,,150747,1840000460
Warner Robins,Warner Robins,32.598,-83.6528,United States,US,USA,Georgia,,149617,1840015800
New Bedford,New Bedford,41.6697,-70.9428,United States,US,USA,Massachusetts,,149528,1840003219
Topeka,Topeka,39.0346,-95.6956,United States,US,USA,Kansas,admin,148960,1840001621
Beaumont,Beaumont,30.0849,-94.1451,United States,US,USA,Texas,,148954,1840019612
Paterson,Paterson,40.9147,-74.1624,United States,US,USA,New Jersey,,148678,1840000838
Joliet,Joliet,41.5193,-88.1501,United States,US,USA,Illinois,,148462,1840008192
Leesburg,Leesburg,28.7674,-81.8981,United States,US,USA,Florida,,148161,1840015083
Elkhart,Elkhart,41.6913,-85.9628,United States,US,USA,Indiana,,148131,1840008187
Odessa,Odessa,31.8831,-102.3407,United States,US,USA,Texas,,147810,1840020794
Naperville,Naperville,41.7483,-88.1657,United States,US,USA,Illinois,,147682,1840008143
Fairfield,Fairfield,38.2594,-122.0319,United States,US,USA,California,,147582,1840020253
San Juan del Río,San Juan del Rio,20.38,-100,Mexico,MX,MEX,Querétaro,minor,147559,1484890205
Torrance,Torrance,33.8346,-118.3417,United States,US,USA,California,,146758,1840021873
Matanzas,Matanzas,23.0415,-81.5775,Cuba,CU,CUB,Matanzas,admin,146733,1192888416
Panama City,Panama City,30.1997,-85.6003,United States,US,USA,Florida,,145239,1840015034
Bellevue,Bellevue,47.5953,-122.1551,United States,US,USA,Washington,,144444,1840018417
Midland,Midland,32.0249,-102.1137,United States,US,USA,Texas,,144247,1840020792
Sarnia,Sarnia,42.9666,-82.4,Canada,CA,CAN,Ontario,,144172,1124509835
Merced,Merced,37.3058,-120.4778,United States,US,USA,California,,144117,1840020313
Mesquite,Mesquite,32.7622,-96.5889,United States,US,USA,Texas,,143949,1840020713
Houma,Houma,29.5799,-90.7058,United States,US,USA,Louisiana,,142969,1840015063
Charleston,Charleston,38.3484,-81.6323,United States,US,USA,West Virginia,admin,142858,1840006196
Pasadena,Pasadena,34.1598,-118.139,United States,US,USA,California,,142647,1840020505
Pueblo,Pueblo,38.2701,-104.6131,United States,US,USA,Colorado,,142351,1840020255
Ciego de Ávila,Ciego de Avila,21.84,-78.7619,Cuba,CU,CUB,Ciego de Ávila,admin,142027,1192302618
Tyler,Tyler,32.3184,-95.3065,United States,US,USA,Texas,,141116,1840022076
Orange,Orange,33.8038,-117.8219,United States,US,USA,California,,140560,1840020582
Fullerton,Fullerton,33.8841,-117.9279,United States,US,USA,California,,140392,1840020576
Miramar,Miramar,25.9773,-80.3358,United States,US,USA,Florida,,140328,1840015137
Santa Maria,Santa Maria,34.9333,-120.4432,United States,US,USA,California,,140219,1840021830
Athens,Athens,33.9508,-83.3689,United States,US,USA,Georgia,,140169,1840029463
Columbia,Columbia,38.9478,-92.3258,United States,US,USA,Missouri,,139945,1840007391
Sherbrooke,Sherbrooke,45.4,-71.9,Canada,CA,CAN,Québec,,139652,1124559506
Piedras Negras,Piedras Negras,28.7076,-100.5317,Mexico,MX,MEX,Coahuila de Zaragoza,minor,139619,1484000400
Yuma,Yuma,32.5991,-114.5488,United States,US,USA,Arizona,,138802,1840021998
Olathe,Olathe,38.8838,-94.8196,United States,US,USA,Kansas,,137472,1840003833
Thornton,Thornton,39.9205,-104.9443,United States,US,USA,Colorado,,136978,1840021422
Harlingen,Harlingen,26.1917,-97.6977,United States,US,USA,Texas,,136968,1840021036
Grand Junction,Grand Junction,39.0878,-108.5673,United States,US,USA,Colorado,,136688,1840020230
West Valley City,West Valley City,40.6889,-112.0115,United States,US,USA,Utah,,136170,1840021389
Carrollton,Carrollton,32.9886,-96.9,United States,US,USA,Texas,,135710,1840019436
Roseville,Roseville,38.7691,-121.3178,United States,US,USA,California,,135329,1840020233
Warren,Warren,42.4934,-83.027,United States,US,USA,Michigan,,135022,1840002418
Bloomington,Bloomington,40.4757,-88.9705,United States,US,USA,Illinois,,134892,1840007207
Hampton,Hampton,37.0551,-76.3629,United States,US,USA,Virginia,,134669,1840003866
Surprise,Surprise,33.6802,-112.4525,United States,US,USA,Arizona,,134085,1840021941
Las Cruces,Las Cruces,32.3265,-106.7893,United States,US,USA,New Mexico,,133988,1840020683
Greeley,Greeley,40.415,-104.7696,United States,US,USA,Colorado,,133750,1840020149
Yakima,Yakima,46.5923,-120.5496,United States,US,USA,Washington,,133233,1840021154
Coral Springs,Coral Springs,26.2701,-80.2592,United States,US,USA,Florida,,133037,1840015134
Sterling Heights,Sterling Heights,42.5809,-83.0305,United States,US,USA,Michigan,,132631,1840003094
Mauldin,Mauldin,34.7864,-82.2996,United States,US,USA,South Carolina,,132402,1840015476
Racine,Racine,42.7274,-87.8135,United States,US,USA,Wisconsin,,131467,1840002493
Stamford,Stamford,41.1036,-73.5583,United States,US,USA,Connecticut,,130824,1840004841
Elizabeth,Elizabeth,40.6657,-74.1912,United States,US,USA,New Jersey,,130215,1840003613
Kent,Kent,47.3887,-122.2128,United States,US,USA,Washington,,128458,1840018424
Greenville,Greenville,35.5957,-77.3764,United States,US,USA,North Carolina,,128385,1840013407
Manzanillo,Manzanillo,20.3438,-77.1166,Cuba,CU,CUB,Granma,minor,128188,1192805452
Simi Valley,Simi Valley,34.2663,-118.749,United States,US,USA,California,,127864,1840021843
Burlington,Burlington,36.0762,-79.4687,United States,US,USA,North Carolina,,127374,1840013362
Santa Clara,Santa Clara,37.3646,-121.9679,United States,US,USA,California,,127134,1840021571
Sancti Spíritus,Sancti Spiritus,21.9301,-79.4425,Cuba,CU,CUB,Sancti Spíritus,admin,127069,1192600260
Johnson City,Johnson City,36.3406,-82.3804,United States,US,USA,Tennessee,,126589,1840014462
Boulder,Boulder,40.0249,-105.2523,United States,US,USA,Colorado,,126054,1840018774
Bellingham,Bellingham,48.7543,-122.4687,United States,US,USA,Washington,,126015,1840018346
Fort Smith,Fort Smith,35.3494,-94.3695,United States,US,USA,Arkansas,,125562,1840013456
Kelowna,Kelowna,49.9,-119.4833,Canada,CA,CAN,British Columbia,,125109,1124080626
Lynchburg,Lynchburg,37.4003,-79.1908,United States,US,USA,Virginia,,125004,1840003855
Kenosha,Kenosha,42.5863,-87.8759,United States,US,USA,Wisconsin,,124888,1840003160
South Lyon,South Lyon,42.4614,-83.6526,United States,US,USA,Michigan,,123850,1840002432
Round Rock,Round Rock,30.5252,-97.6659,United States,US,USA,Texas,,123678,1840020879
Berkeley,Berkeley,37.8723,-122.276,United States,US,USA,California,,122324,1840018914
Billings,Billings,45.7889,-108.5503,United States,US,USA,Montana,,120800,1840018496
Redding,Redding,40.5698,-122.365,United States,US,USA,California,,120270,1840020141
Yuba City,Yuba City,39.1357,-121.6381,United States,US,USA,California,,120186,1840021463
Duluth,Duluth,46.7757,-92.1392,United States,US,USA,Minnesota,,120101,1840007685
Pearland,Pearland,29.5585,-95.3215,United States,US,USA,Texas,,119940,1840020979
Trois-Rivières,Trois Rivieres,46.35,-72.5499,Canada,CA,CAN,Québec,,119693,1124407487
Leominster,Leominster,42.5209,-71.7717,United States,US,USA,Massachusetts,,119400,1840000437
Saginaw,Saginaw,43.4199,-83.9501,United States,US,USA,Michigan,,119336,1840002813
Iowa City,Iowa City,41.6559,-91.5304,United States,US,USA,Iowa,,119091,1840000532
Arvada,Arvada,39.8321,-105.151,United States,US,USA,Colorado,,118807,1840018788
Seaside,Seaside,36.6224,-121.8191,United States,US,USA,California,,118110,1840021634
Kingsport,Kingsport,36.522,-82.5453,United States,US,USA,Tennessee,,118001,1840014425
Independence,Independence,39.0871,-94.3503,United States,US,USA,Missouri,,117306,1840008534
Richardson,Richardson,32.9717,-96.7092,United States,US,USA,Texas,,116783,1840020710
Rochester,Rochester,44.0151,-92.4778,United States,US,USA,Minnesota,,116713,1840008987
Gilroy,Gilroy,37.0047,-121.5843,United States,US,USA,California,,116235,1840020327
El Monte,El Monte,34.074,-118.0291,United States,US,USA,California,,116109,1840020480
Navajoa,Navajoa,27.0819,-109.4546,Mexico,MX,MEX,Sonora,minor,116093,1484166303
Rock Hill,Rock Hill,34.9413,-81.025,United States,US,USA,South Carolina,,115963,1840014618
Clearwater,Clearwater,27.9786,-82.7622,United States,US,USA,Florida,,115513,1840015110
Monroe,Monroe,32.5184,-92.0774,United States,US,USA,Louisiana,,115462,1840014881
Dover,Dover,39.1603,-75.5203,United States,US,USA,Delaware,,115352,1840005810
Carlsbad,Carlsbad,33.1246,-117.2837,United States,US,USA,California,,115330,1840019352
Norman,Norman,35.2335,-97.3471,United States,US,USA,Oklahoma,,115065,1840020451
Ciudad Valles,Ciudad Valles,21.98,-99.02,Mexico,MX,MEX,San Luis Potosí,minor,114964,1484904610
Abilene,Abilene,32.4543,-99.7384,United States,US,USA,Texas,,114964,1840019476
Bloomington,Bloomington,39.1637,-86.5256,United States,US,USA,Indiana,,114959,1840007376
Delicias,Delicias,28.2,-105.5,Mexico,MX,MEX,Chihuahua,,114783,1484513329
Texas City,Texas City,29.4128,-94.9658,United States,US,USA,Texas,,114546,1840022234
Temecula,Temecula,33.4928,-117.1314,United States,US,USA,California,,114327,1840021937
Utica,Utica,43.0961,-75.226,United States,US,USA,New York,,114318,1840002746
Saint Cloud,Saint Cloud,45.5339,-94.1719,United States,US,USA,Minnesota,,114225,1840008881
Kingston,Kingston,44.2337,-76.4833,Canada,CA,CAN,Ontario,,114195,1124437097
Saint George,Saint George,37.0769,-113.577,United States,US,USA,Utah,,113906,1840021559
West Jordan,West Jordan,40.6024,-112.0008,United States,US,USA,Utah,,113905,1840021388
Costa Mesa,Costa Mesa,33.6667,-117.9135,United States,US,USA,California,,113825,1840019326
Miami Gardens,Miami Gardens,25.9433,-80.2425,United States,US,USA,Florida,,113750,1840015151
Cambridge,Cambridge,42.3758,-71.1184,United States,US,USA,Massachusetts,,113630,1840000429
Downey,Downey,33.9379,-118.1312,United States,US,USA,California,,113092,1840019245
Coeur d'Alene,Coeur d'Alene,47.7039,-116.7933,United States,US,USA,Idaho,,112935,1840018402
Westminster,Westminster,39.8837,-105.0627,United States,US,USA,Colorado,,112812,1840021423
Elgin,Elgin,42.0385,-88.3229,United States,US,USA,Illinois,,112456,1840008134
Guanajuato,Guanajuato,21.0204,-101.28,Mexico,MX,MEX,Guanajuato,admin,112200,1484185068
El Centro,El Centro,32.7873,-115.5579,United States,US,USA,California,,112145,1840020630
Waterloo,Waterloo,42.492,-92.3522,United States,US,USA,Iowa,,112060,1840000440
Lowell,Lowell,42.6389,-71.3217,United States,US,USA,Massachusetts,,111346,1840000426
Gresham,Gresham,45.5023,-122.4414,United States,US,USA,Oregon,,111053,1840019939
North Charleston,North Charleston,32.9086,-80.0705,United States,US,USA,South Carolina,,110861,1840015164
Inglewood,Inglewood,33.9566,-118.3444,United States,US,USA,California,,110598,1840019237
Pompano Beach,Pompano Beach,26.2428,-80.1312,United States,US,USA,Florida,,110473,1840015143
Centennial,Centennial,39.5926,-104.8674,United States,US,USA,Colorado,,110250,1840018792
West Palm Beach,West Palm Beach,26.7467,-80.1314,United States,US,USA,Florida,,110222,1840015993
Everett,Everett,47.9524,-122.167,United States,US,USA,Washington,,110079,1840019785
Santa Fe,Santa Fe,35.6619,-105.9819,United States,US,USA,New Mexico,admin,110078,1840021707
Richmond,Richmond,37.9477,-122.339,United States,US,USA,California,,110040,1840020277
Clovis,Clovis,36.8278,-119.6841,United States,US,USA,California,,109691,1840018944
Pottstown,Pottstown,40.2508,-75.6445,United States,US,USA,Pennsylvania,,109437,1840001373
Tuxpam,Tuxpam,20.9604,-97.41,Mexico,MX,MEX,Veracruz,minor,109049,1484316468
Jacksonville,Jacksonville,34.7323,-77.3962,United States,US,USA,North Carolina,,108872,1840014653
Broken Arrow,Broken Arrow,36.0365,-95.7808,United States,US,USA,Oklahoma,,108303,1840019059
Burlington,Burlington,44.4877,-73.2314,United States,US,USA,Vermont,,108277,1840002310
West Covina,West Covina,34.0555,-117.9113,United States,US,USA,California,,107598,1840021876
Turlock,Turlock,37.5053,-120.8588,United States,US,USA,California,,107208,1840021533
Daly City,Daly City,37.6863,-122.4684,United States,US,USA,California,,107074,1840018926
Eau Claire,Eau Claire,44.8203,-91.4951,United States,US,USA,Wisconsin,,107068,1840002296
Hillsboro,Hillsboro,45.5271,-122.9358,United States,US,USA,Oregon,,106894,1840019932
Sandy Springs,Sandy Springs,33.9366,-84.3703,United States,US,USA,Georgia,,106739,1840015609
Sioux City,Sioux City,42.4959,-96.3901,United States,US,USA,Iowa,,106279,1840000447
Chico,Chico,39.7574,-121.815,United States,US,USA,California,,106268,1840018778
Norwalk,Norwalk,33.9069,-118.0829,United States,US,USA,California,,106084,1840020501
Salisbury,Salisbury,38.3755,-75.5867,United States,US,USA,Maryland,,106034,1840006219
Lewisville,Lewisville,33.0453,-96.9823,United States,US,USA,Texas,,106021,1840020639
Fresnillo,Fresnillo,23.1704,-102.86,Mexico,MX,MEX,Zacatecas,minor,105488,1484014035
Davie,Davie,26.079,-80.287,United States,US,USA,Florida,,105149,1840017272
League City,League City,29.4874,-95.1087,United States,US,USA,Texas,,104903,1840020973
Burbank,Burbank,34.1879,-118.3234,United States,US,USA,California,,104834,1840019233
San Mateo,San Mateo,37.5522,-122.3122,United States,US,USA,California,,104748,1840021551
El Cajon,El Cajon,32.8017,-116.9604,United States,US,USA,California,,103894,1840020618
Rialto,Rialto,34.1128,-117.3885,United States,US,USA,California,,103562,1840020407
Guaymas,Guaymas,27.93,-110.89,Mexico,MX,MEX,Sonora,minor,103449,1484689704
Hidalgo del Parral,Hidalgo del Parral,26.9334,-105.6666,Mexico,MX,MEX,Chihuahua,minor,103378,1484607603
Bend,Bend,44.0562,-121.3087,United States,US,USA,Oregon,,103349,1840018618
Palma Soriano,Palma Soriano,20.2172,-75.9988,Cuba,CU,CUB,Santiago de Cuba,minor,102826,1192323011
Charlottesville,Charlottesville,38.0375,-78.4855,United States,US,USA,Virginia,,102016,1840001678
La Crosse,La Crosse,43.8241,-91.2268,United States,US,USA,Wisconsin,,101886,1840002577
Temple,Temple,31.1076,-97.3894,United States,US,USA,Texas,,101876,1840022154
Vista,Vista,33.1895,-117.2387,United States,US,USA,California,,101568,1840021994
Renton,Renton,47.4758,-122.1905,United States,US,USA,Washington,,101379,1840019827
Sparks,Sparks,39.5729,-119.7157,United States,US,USA,Nevada,,100888,1840021337
Holland,Holland,42.7677,-86.0984,United States,US,USA,Michigan,,100885,1840002996
Vacaville,Vacaville,38.3592,-121.9686,United States,US,USA,California,,100801,1840021498
Logan,Logan,41.7402,-111.8419,United States,US,USA,Utah,,100774,1840020108
Boca Raton,Boca Raton,26.3749,-80.1077,United States,US,USA,Florida,,98150,1840014207
Hamilton,Hamilton,32.2942,-64.7839,Bermuda,BM,BMU,Hamilton,primary,52320,1060000000
Grand Turk,Grand Turk,21.4664,-71.136,Turks And Caicos Islands,TC,TCA,,primary,5801,1796965313
Bismarck,Bismarck,46.814,-100.7695,United States,US,USA,North Dakota,admin,97457,1840001926
Cheyenne,Cheyenne,41.1406,-104.7926,United States,US,USA,Wyoming,admin,78728,1840018713
Artemisa,Artemisa,22.8134,-82.7619,Cuba,CU,CUB,Artemisa,admin,68073,1192325408
Jefferson City,Jefferson City,38.5677,-92.1757,United States,US,USA,Missouri,admin,58279,1840008615
Carson City,Carson City,39.1512,-119.7474,United States,US,USA,Nevada,admin,57525,1840003826
Fredericton,Fredericton,45.95,-66.6333,Canada,CA,CAN,New Brunswick,admin,52337,1124061289
Helena,Helena,46.5964,-112.0197,United States,US,USA,Montana,admin,50227,1840019820
Concord,Concord,43.2305,-71.5595,United States,US,USA,New Hampshire,admin,42935,1840002747
Charlottetown,Charlottetown,46.2493,-63.1313,Canada,CA,CAN,Prince Edward Island,admin,42402,1124897699
Annapolis,Annapolis,38.9706,-76.5047,United States,US,USA,Maryland,admin,39321,1840005928
Frankfort,Frankfort,38.1924,-84.8644,United States,US,USA,Kentucky,admin,38664,1840013210
Nueva Gerona,Nueva Gerona,21.8837,-82.8,Cuba,CU,CUB,Isla de la Juventud,admin,25566,1192344354
Pierre,Pierre,44.3748,-100.3205,United States,US,USA,South Dakota,admin,14803,1840000313
Montpelier,Montpelier,44.2658,-72.5717,United States,US,USA,Vermont,admin,7484,1840002187
Hartford,Hartford,43.621,-96.9424,United States,US,USA,South Dakota,admin,3237,1840002653
Dover,Dover,40.0033,-76.8484,United States,US,USA,Pennsylvania,admin,1991,1840001442
Siuslaw National Forest,,44.358715,-123.829994,United States,,,Nat’l Park,,,
Whiskeytown National Recreation Area,,40.633495,-122.564247,United States,,,Nat’l Park,,,
Mount Rainier National Park,,46.879967,-121.726906,United States,,,Nat’l Park,,,
Channel Islands National Park,,33.998028,-119.772949,United States,,,Nat’l Park,,,
Yosemite National Park,,37.865101,-119.53833,United States,,,Nat’l Park,,,
Joshua Tree National Park,,33.881866,-115.90065,United States,,,Nat’l Park,,,
Mojave National Preserve,,35.141689,-115.510399,United States,,,Nat’l Park,,,
Zion National Park,,37.317207,-113.022537,United States,,,Nat’l Park,,,
Manti-La Sal National Forest,,39.18705,-111.37989,United States,,,Nat’l Park,,,
Yellowstone National Park,,44.427895,-110.588379,United States,,,Nat’l Park,,,
Yellowstone National Park,,44.429764,-110.584663,United States,,,Nat’l Park,,,
Petrified Forest National Park,,34.909988,-109.806793,United States,,,Nat’l Park,,,
Arches National Park,,38.733082,-109.592514,United States,,,Nat’l Park,,,
Mesa Verde National Park,,37.230873,-108.461838,United States,,,Nat’l Park,,,
Bandelier National Monument,,35.767288,-106.311607,United States,,,Nat’l Park,,,
Little Sandy National Wildlife Refuge,,32.590797,-95.273666,United States,,,Nat’l Park,,,
Anahuac National Wildlife Refuge,,29.6103,-94.449081,United States,,,Nat’l Park,,,
Hot Springs National Park,,34.52153,-93.042267,United States,,,Nat’l Park,,,
Buffalo National River,,35.985512,-92.757652,United States,,,Nat’l Park,,,
Chattahoochee National Forest,,34.765972,-84.143517,United States,,,Nat’l Park,,,
Great Smoky Mountains National Park,,35.611763,-83.489548,United States,,,Nat’l Park,,,
Okefenokee National Wildlife Refuge,,30.77323,-82.292732,United States,,,Nat’l Park,,,
Acadia National Park,,44.338974,-68.27343,United States,,,Nat’l Park,,,
